composer,piece,top_recommendation,date,reviewer,podcast
"Bach, Johann Sebastian","St John Passion 
BWV 245","Ingrid Schmithusen (soprano), Yoshie Hida (soprano), Yoshikazu Mera (counter-tenor), Gerd Turk (tenor), Makoto Sakurada (tenor), Chiyuki Urano (bass), Peter Kooij (bass), Bach Collegium Japan, Masaaki Suzuki (conductor) 
BIS CD921-922 (2 CD)",2011-04-02T00:00:00Z,NA,http://www.bbc.co.uk/programmes/p02tmwpf
"Mozart, Wolfgang Amadeus",Symphony No 25 in G minor K.183,"Stuttgart Radio Symphony Orchestra, Sir Roger Norrington (conductor)
HANSSLER CLASSIC HAN093211 (CD)",2011-03-26T00:00:00Z,NA,http://www.bbc.co.uk/programmes/p02tmmgw
"Liszt, Franz",Annees de Pelerinage Book I “Suisse”,"Stephen Hough (piano)
HYPERION CDA67424 (CD)",2011-03-05T00:00:00Z,NA,http://www.bbc.co.uk/programmes/p02tmxsy
"Ravel, Maurice",Alborada de gracioso (orchestral version),"Berlin Philharmonic Orchestra, Pierre Boulez (conductor)
DG 4398592 (CD)",2011-02-19T00:00:00Z,NA,http://www.bbc.co.uk/programmes/p02tmmr3
"Brahms, Johannes",Four Serious Songs,"Thomas Quasthoff (baritone), Justus Zeyen (piano)
DG 4710302 (CD)",2011-02-12T00:00:00Z,NA,http://www.bbc.co.uk/programmes/p02tmnr4
"Berlioz, Hector",Romeo and Juliet,"Catherine Robbin (mezzo-soprano), Jean-Paul Fouchecourt (tenor), Gilles Cachemaille(baritone), The Monteverdi Choir, Orchestre Revolutionnaire et Romantique ,John Eliot Gardiner (conductor)
PHILIPS 4544542 (CD)",2011-02-05T00:00:00Z,NA,http://www.bbc.co.uk/programmes/p02tmnp6
"Liszt, Franz",Annees de Pelerinage Book II “Italie”,"Alan Marks (piano)
Nimbus NI5226 (CD)",2011-01-29T00:00:00Z,NA,http://www.bbc.co.uk/programmes/p02tn25g
"Strauss, Richard",Alpine Symphony,"Berlin Philharmonic Orchestra, Herbert von Karajan (conductor)
DG 439 0172 (CD)",2011-01-22T00:00:00Z,NA,http://www.bbc.co.uk/programmes/p02tmqsc
"Tchaikovsky, Pyotr Ilyich","Piano Trio in A minor, Op 50","Pinchas Zukerman (violin), Jacqueline du Pre (cello), Daniel Barenboim (piano)
EMI 94636522456 (2 CD)",2011-01-15T00:00:00Z,NA,http://www.bbc.co.uk/programmes/p02tmmys
"Beethoven, Ludwig Van","Piano Sonata No 4 in Eb major, Op 7","Andras Schiff (piano)
ECM 4763054 (CD)",2010-12-11T00:00:00Z,NA,http://www.bbc.co.uk/programmes/p02tn04s
"Wolf, Hugo",Morike Lieder,"Joan Rodgers (soprano),
Stephan Genz (baritone),
Roger Vignoles (piano)
HYPERION CDA67311/2 (2 CD)",2010-11-27T00:00:00Z,NA,http://www.bbc.co.uk/programmes/p02tmpvv
"Chopin, Frédéric","Cello Sonata in G minor, Op 65","Mstislav Rostropovich (cello), Martha Argerich (piano)
DG 477 8445 (17 CD)",2010-11-20T00:00:00Z,NA,NA
"Honegger, Arthur","Symphonie No 3 ""Liturgique""","Royal Concertgebouw Orchestra, Mariss Jansons (conductor)
RCO LIVE RCO0003 (Hybrid SACD)",2010-11-13T00:00:00Z,NA,http://www.bbc.co.uk/programmes/p02tmnzz
"Mahler, Gustav",Ruckert Lieder,"Janet Baker (mezzo), Halle Orchestra, Sir John Barbirolli (conductor) 
(recorded 1967)
EMI 566981 2 (CD)",2010-11-06T00:00:00Z,NA,http://www.bbc.co.uk/programmes/p02tmywd
"Bach, Johann Sebastian",Organ Music,"Bernard Foccroulle (organ)
RICERCAR RIC289 (16 CD)",2010-10-30T00:00:00Z,Stephen Farr,http://www.bbc.co.uk/programmes/p02tn3tc
"Monteverdi, Claudio",Vespers (1610),"Carolyn Sampson (soprano), Rebecca Outram (mezzo-soprano), Daniel Auchincloss (tenor), Nicholas Mulroy (bass),  The King’s Consort, Robert King (conductor)
HYPERION CDA67531-2 (2 CD) / SACDA67531-2 (2 Hybrid SACD)",2010-10-18T00:00:00Z,NA,http://www.bbc.co.uk/programmes/p02tmv7z
"Schumann, Robert",Das Paradies und die Peri,"Barbara Bonney (soprano), Bernarda Fink (mezzo-soprano), Christoph Pregardien (tenor), Gerald Finley (bass), Monteverdi Choir, Orchestre Revolutionnaire et Romantiques, John Eliot Gardiner
Archiv 4576602 (2 CD)",2010-10-16T00:00:00Z,NA,http://www.bbc.co.uk/programmes/p02tmwc8
"Dvořák, Antonín",Slavonic Dances Op 46,"Bavarian Radio Symphony Orchestra, Rafael Kubelik (conductor)
DG 4577122 (CD)",2010-10-09T00:00:00Z,NA,http://www.bbc.co.uk/programmes/p02tmmwq
"Mussorgsky, Modest",Boris Godunov,"Ruggero Raimondi, Paul Plishka, Kenneth Riegel, Nicolai Gedda, Galina Vishnevskaya, Choral Arts Society of Washington, National Symphony Orchestra of Washington, Mstislav Rostropovich
ERATO 2292454182 (3 CD)",2010-10-02T00:00:00Z,Stephen Walsh,http://www.bbc.co.uk/programmes/p02tn2kn
"Brahms, Johannes","String Quartet in C minor, Op .51","Quatuor Ebene, Akiko Yamamoto (piano)
Virgin 2166222 (CD)",2010-09-25T00:00:00Z,NA,http://www.bbc.co.uk/programmes/p02tn366
"Sibelius, Jean","Symphony No 7 in C, Op 105","Lahti Symphony Orchestra, Osmo Vanska (conductor)
BIS BIS-CD-864 (CD)",2010-09-18T00:00:00Z,NA,http://www.bbc.co.uk/programmes/p02tmzny
"Barber, Samuel",Knoxville: Summer of 1915,"Dawn Upshaw (soprano) / Orchestra of St Lukes / David Zinman (conductor)
NONESUCH75599791872 (CD and download)",2010-07-03T00:00:00Z,NA,NA
"Delibes, Léo",Coppelia,"L'Orchestre de la Suisse Romande / Ernest Ansermet (conductor)
DECCA Eloquence 4800083 (2CD)",2010-06-26T00:00:00Z,NA,NA
"Haydn, Joseph",String Quartet Op 77 No 2,"Alban Berg Quartett
EMI 5575412 (CD)",2010-06-19T00:00:00Z,NA,NA
"Schumann, Robert",Piano Concerto in A minor Op 54,"Andreas Staier (fortepiano) / Orchestre des Champs Elysees / Philippe Herreweghe (conductor)
Harmonia Mundi HMA1951731 (CD)",2010-06-12T00:00:00Z,Harriet Smith & Kenneth Hamilton,NA
"Carissimi, Giacomo",Historia di Jephte,"The Netherlands Bach Society / Cappella Figuralis / Jos van Veldhoven (conductor)
Channel Canal Grande CG06012 (CD)",2010-05-15T00:00:00Z,NA,NA
"Tchaikovsky, Pyotr Ilyich",Francesca da Rimini,"Orchestra e Coro Dell’ Accademia Di Santa Cecilia / Antonio Pappano 
EMI 3700652 (CD)",2010-05-08T00:00:00Z,NA,NA
"Lutoslawski, Witold",Concerto for Orchestra,"Polish Radio National Symphony Orchestra / Witold Lutoslawski (conductor) 
EMI 2153182 (3CD)",2010-05-01T00:00:00Z,NA,NA
"Schubert, Franz",Sonata for Piano Duet 'Grand Duo' D812,Evgeny Kissin (Piano) / James Levine (Piano) RCA 82876692832 (2CD),2010-04-24T00:00:00Z,NA,NA
"Bartók, Béla",Duke Bluebeard’s Castle,"John Tomlinson (Baritone) / Anne Sofie von Otter (Mezzo Soprano) / Sandor Eles (Speaker) / Berlin Philharmonic Orchestra / Bernard Haitink (Conductor) 
EMI 5561622 (download)
 PHILIPS 475 7684 (3 CDs)",2010-04-17T00:00:00Z,NA,NA
"Suk, Josef",Symphony No 2 in C minor ‘Asrael’ Op 27,"Czech Philharmonic Orchestra / Jiri Belohlavek (conductor)
Chandos CHAN9640 (2CD)",2010-04-10T00:00:00Z,NA,NA
"Pergolesi, Giovanni Battista",Stabat Mater,"Veronica Cangemi (soprano) / Sara Mingardo (contralto) / Coro della Radiotelevisione Svizzera / Orchestra Mozart / Claudio Abbado (conductor)
Archiv Produktion 4778463 (CD)",2010-04-03T00:00:00Z,NA,NA
"Brahms, Johannes",Die Schone Magelone,"Dietrich Fischer-Dieskau (baritone) / Sviatoslav Richter (piano)
[live at Aldeburgh 20 June 1965]
BBC Legends BBCL42552 (CD)",2010-03-13T00:00:00Z,NA,NA
"Chopin, Frédéric",Scherzi,"Sviatoslav Richter (piano)
Regis RRC1199 (CD)",2010-03-06T00:00:00Z,NA,NA
"Britten, Benjamin",Violin Concerto Op 15,"Mark Lubotsky (violin) / English Chamber Orchestra / Benjamin Britten (conductor)
DECCA 4737152 (CD)",2010-02-27T00:00:00Z,NA,NA
"Debussy, Claude",Suite Bergamasque,"Daniel Ericourt (piano)
Ivory Classics 73006 (4CD)",2010-02-20T00:00:00Z,NA,NA
"Prokofiev, Sergei",Romeo and Juliet,"Symphonic Orchestra of State Academic Bolshoi Theatre / Gennady Rozhdestvensky (conductor)
Melodiya MELCD1000908 (2CD) [Mono]",2010-02-13T00:00:00Z,David nice,NA
"Berlioz, Hector",Te Deum,"Jose Carreras (tenor) /  Martin Haselbock (organ) / Concert Association of the Vienna State Opera Chorus / Prague Philharmonic Choir / Tolzer Boys Choir / Vienna Philharmonic Orchestra / Claudio Abbado (conductor)
ARTHAUS 102029 (DVD)",2010-02-06T00:00:00Z,NA,NA
"Schoenberg, Arnold",Orchestral Pieces Op 16,"Chicago Symphony Orchestra / Daniel Barenboim (conductor and pianist)
Teldec 4509982562 (CD)",2010-01-30T00:00:00Z,NA,NA
"Schutz, Heinrich",Musikalisches Exequien,"La Chapelle Royale
Philippe Herreweghe
Harmonia Mundi HMG501261 (CD)",2010-01-23T00:00:00Z,NA,NA
"Franck, César",Three Organ Chorals,"Jennifer Bate (organ of St Pierre de Beauvais)
Regis RRC2054 (2CD)",2010-01-09T00:00:00Z,NA,NA
"Tchaikovsky, Pyotr Ilyich",The Seasons,"Mikhail Pletnev (Piano)
Virgin Classics 4820552",2010-01-02T00:00:00Z,NA,NA
"Beethoven, Ludwig Van",Symphony No 9,"Aase Nordmo-Lovberg (soprano) / Christa Ludwig (contralto) / Waldemar Kmennt (tenor) / Hans Hotter (bass) / Philharmonia Chorus and Orchestra / Otto Klemperer (conductor)
(live, Royal Festival Hall,1957) 
TESTAMENT SBT1177 (CD)",2009-12-26T00:00:00Z,NA,NA
"Ravel, Maurice",Piano Trio in A minor,"Renaud Capuçon (violin) / Gautier Capuçon (cello) / Frank Braley (piano)
(recorded 2001)
VIRGIN CLASSICS 5454922 (CD)",2009-12-19T00:00:00Z,Harriet Smith,NA
"Shostakovich, Dmitri",Symphony No 15 in A major,"Cleveland Orchestra / Kurt Sanderling (conductor)
Warner ELATUS 0927 496212 (CD)",2009-12-05T00:00:00Z,NA,NA
"Bruckner, Anton",Symphony No 5 in B flat major,"Berlin Philharmonic Orchestra / Daniel Barenboim (conductor)
WARNER CLASSICS ELATUS 2564611732 (CD)",2009-11-21T00:00:00Z,NA,NA
"Ireland, John",Piano Concerto in E flat,"Kathryn Stott (piano) / Royal Philharmonic Orchestra / Vernon Handley (conductor) 
Dutton CDLX7223 (CD)",2009-11-14T00:00:00Z,NA,NA
"Britten, Benjamin",War Requiem,"Galina Vishnevskaya (soprano) / Peter Pears (tenor) / Dietrich Fischer-Dieskau (baritone) / The Bach Choir / London Symphony Orchestra Chorus / Highgate School Choir / Simon Preston (organ) / Melos Ensemble / London Symphony Orchestra / Benjamin Britten (conductor)
DECCA The Originals 4757511 (2CD)",2009-11-07T00:00:00Z,NA,NA
"Schubert, Franz",String Quartet No 13 in A minor D804,"Takacs Quartet
HYPERION CDA67585 (CD)",2009-10-31T00:00:00Z,NA,NA
"Stravinsky, Igor",Symphony  in C,"Berliner Philharmoniker / Sir Simon Rattle 
EMI 2076300 (CD)",2009-10-24T00:00:00Z,NA,NA
"Schumann, Robert",Kerner-Lieder Op 35,"Simon Keenlyside (baritone) / Graham Johnson (piano)
HYPERION CDJ33102 (CD)",2009-10-17T00:00:00Z,NA,NA
"Mendelssohn, Felix",String Quartet No 6 in F minor Op 80,"Elias String Quartet
ASV Gold GLD4025 (CD)",2009-10-10T00:00:00Z,NA,NA
"Martinů, Bohuslav",Symphony No 4,"Bamberg Symphony Orchestra / Neeme Jarvi (conductor)
BIS BIS-CD-363 (CD)",2009-10-03T00:00:00Z,NA,NA
"Mahler, Gustav",Das Lied von der Erde,"Alfreda Hodgson (alto) / John Mitchinson (tenor) / BBC Northern Symphony / Jascha Horenstein (conductor)
BBC Legends BBCL4042-2 (CD)",2009-09-26T00:00:00Z,NA,NA
"Bach, Johann Sebastian","Cantata ‘Ein Feste Burg ist unser Gott’ 
BWV 80","Joanne Lunn (soprano), William Towers (alto), James Gilchrist (tenor), Peter Harvey (bass), The Monteverdi Choir
The English Baroque Soloists
John Eliot Gardiner (conductor)
Bach Cantatas Volume 10
Soli Deo Gloria SDG110 (2CD)",2009-09-19T00:00:00Z,NA,NA
"Handel, George Frideric",Acis and Galatea,"Susan Hamilton (soprano), Nicholas Mulroy (tenor), Thomas Hobbs (tenor), Nicholas Hurndall Smith (tenor), Matthew Brook (bass), Dunedin Consort and Players, John Butt (director)
LINN CKD 319 (2 Hybrid SACDs)",2009-07-11T00:00:00Z,NA,NA
"Mozart, Wolfgang Amadeus","Serenade No 10 in B flat 'Gran Partita'
K.361/370a","Linos Ensemble
CAPRICCIO 10 472 (CD)",2009-07-04T00:00:00Z,NA,NA
"Falla, Manuel de",El amor brujo,"Antonia Contreras (flamenco singer), Jerome Correas (bass-baritone), Chantal Perraud (soprano), Eric Huchet (tenor), Orchestre Poitou-Charentes, Jean-Francois Heisser (conductor)
MIRARE MIR034 (CD)",2009-06-27T00:00:00Z,NA,NA
"Rebel, Jean-Féry",Les Elemens,"L'Orfeo Barockorchester, Michi Gaigg (director) 
Phoenix Edition 110 (Hybrid SACD)",2009-06-13T00:00:00Z,NA,NA
"Haydn, Joseph",Symphony No 94 in G Surprise,"Philharmonia Hungarica, Antal Dorati (conductor) 
DECCA Eloquence 467 405-2 (CD)",2009-06-06T00:00:00Z,NA,NA
"Monteverdi, Claudio",Eighth Book of Madrigals,"La Venexiana, Claudio Cavina (director)
GLOSSA GCD 920928 (3 CDs)",2009-05-30T00:00:00Z,NA,NA
"Schoenberg, Arnold",Pelleas und Melisande,"Philharmonic Symphony Orchestra, Dimitri Mitropoulos (conductor) [1953]
Music and Arts CD-1156 (2 CDs)",2009-05-23T00:00:00Z,NA,NA
"Liszt, Franz",Transcendental Studies S. 139,"Lazar Berman (piano)
Melodiya MELCD1000748 (CD) [1959]",2009-05-16T00:00:00Z,NA,NA
"Mendelssohn, Felix",Octet in E flat major Op 20,"Chamber Music Ensemble of Lincoln Center
Delos DE 3266 (CD)",2009-05-09T00:00:00Z,NA,NA
"Dvořák, Antonín","Symphony No 9 in E minor From The New World, Op 95","Czech Philharmonic Orchestra, Karel Ancerl (conductor)
Supraphon SU 3662-2 011 (CD)",2009-05-02T00:00:00Z,NA,NA
"Brahms, Johannes",KlAVIErstucke Op 118,"Stefan Vladar (piano)
Harmonia Mundi HMC901844 (CD)",2009-04-25T00:00:00Z,NA,NA
"Handel, George Frideric",Water Music,"L'Arte dell'Arco, Federico Guglielmo (conductor)
CPO 7773122 (Hybrid SACD)",2009-04-18T00:00:00Z,NA,NA
"Handel, George Frideric",Messiah,"Carolyn Sampson, Catherine Wyn-Rogers, Mark Padmore, Christopher Purves, The Sixteen, Harry Christophers (conductor)
Coro COR16062 (2 CDs plus bonus CD)",2009-04-11T00:00:00Z,NA,NA
"Sibelius, Jean","Violin Concerto in D Minor, Op 47","Viktoria Mullova (violin), Boston Symphony Orchestra, Seiji Ozawa (conductor)
PHILIPS 4647412 (CD)",2009-04-04T00:00:00Z,NA,NA
"Fauré, Gabriel",String Quartet in E minor Op 121,"Ebene Quartet
Virgin 5190452 (CD)",2009-03-28T00:00:00Z,NA,NA
"Purcell, Henry",Dido and Aeneas,"Catherine Bott (Dido), Emma Kirkby (Belinda), John Mark Ainsley (Aeneas), David Thomas (Sorceress), Elizabeth Priday (First Witch), Sara Stowe (Second Witch), Julianne Baird (Second Woman), Daniel Lochmann (First Sailor), Michael Chance (Spirit), Chorus and Orchestra of the Academy of Ancient Music, Christopher Hogwood (conductor
DECCA 4757195 (CD)",2009-03-21T00:00:00Z,NA,NA
"Haydn, Joseph",Piano Trio in C major Hob XV:27,"Beaux Arts Trio
PHILIPS 454 098-2 (9 CDs)",2009-03-14T00:00:00Z,NA,NA
"Britten, Benjamin",Nocturnes,"John Mark Ainsley (tenor), Britten Sinfonia, Nicholas Cleobury (conductor)
CLASSICS FOR PLEASURE 5755632 (CD)",2009-03-07T00:00:00Z,NA,NA
"Bach, Johann Sebastian","Two Part Inventions 
BWV 772-786
Three Part Inventions 
BWV 787-801","Angela Hewitt (piano)
HYPERION CDA66746 (CD)",2009-02-28T00:00:00Z,Harriet Smith and Francis Knights,NA
"Wagner, Richard",Die Meistersinger von Nürnberg,"Norman Bailey (Hans Sachs), Hannelore Bode (Eva), Vienna Philharmonic Orchestra, Georg Solti (conductor)
DECCA 4756680 (4 CDs)",2009-02-21T00:00:00Z,NA,NA
"Tchaikovsky, Pyotr Ilyich",Romeo and Juliet Fantasy Overture,"London Symphony Orchestra,  
Antal Dorati (conductor)
Mercury 4756261 (5 CDs)",2009-02-14T00:00:00Z,Geoffrey Norris,NA
"Schubert, Franz",Winterreise,"Christine Schäfer (soprano), Eric Schneider (piano)
Onyx Classics ONYX4010 (CD)",2009-02-07T00:00:00Z,NA,NA
"Beethoven, Ludwig Van",String Quartet No 11 in F minor Op 95,"Takacs Quartet
DECCA 4708492 (3 CDs)",2009-01-31T00:00:00Z,NA,NA
"Martinů, Bohuslav",Symphony No 6 (Fantaisies symphoniques),"Czech Philharmonic Orchestra, Vaclav Neumann (conductor)
Supraphon 11 0382-2 (3 CDs)",2009-01-24T00:00:00Z,NA,NA
"Haydn, Joseph",Symphony No 104  'London’,"Royal Concertgebouw Orchestra, Colin Davis (conductor)
PHILIPS 4647072 (2CD)",2009-01-17T00:00:00Z,NA,NA
"Berg, Alban",Lyric Suite,"Alban Berg Quartet
TELDEC 2564 696067 (8 CDs)",2009-01-10T00:00:00Z,NA,NA
"Handel, George Frideric",Dixit Dominus,"Balthasar-Neumann Choir and Ensemble, Thomas Hengelbrock (conductor)
DEUTSCHE HARMONIA MUNDI 82876587922 (Hybrid SACD)",2009-01-03T00:00:00Z,NA,NA
"Strauss, Richard",Also Sprach Zarathustra Op 30,"Berlin Philharmonic Orchestra, Herbert von Karajan (conductor)
DG 447 4412 (CD)",2008-12-27T00:00:00Z,NA,NA
"Beethoven, Ludwig Van",Cello Sonata No 4 in C Op 102 No 1,"Miklos Perenyi (cello), Andras Schiff (piano)
ECM NEW SERIES 472 4012 (2 CDs)",2008-12-06T00:00:00Z,Helen Wallace,NA
"Sibelius, Jean",Symphony No 6 in D minor Op 104,"Gothenburg Symphony Orchestra, Neeme Jarvi (conductor)
BIS BISCD237 (CD)",2008-11-29T00:00:00Z,NA,NA
"Vaughan Williams, Ralph","Job, A Masque for Dancing","London Symphony Orchestra / Adrian Boult (conductor)
EMI 2066362 (30CD)",2008-11-22T00:00:00Z,NA,NA
"Haydn, Joseph",Piano Sonata No 60 in C major,"Malcolm Bilson (fortepiano)
Claves 502501 (CD)",2008-11-15T00:00:00Z,NA,NA
"Howells, Herbert",Requiem,"St. John’s College Choir, Cambridge, Iain Farrington (organ), Christopher Robinson (conductor)
Naxos 8.554659 (CD)",2008-11-08T00:00:00Z,NA,NA
"Bartók, Béla",The Miraculous Mandarin,"Budapest Festival Orchestra*, Ivan Fischer (conductor)*, SLUK Slovakian Folksenmble Choir, Branislav Kostka (conductor) 
PHILIPS 475 7684 (3 CDs)",2008-10-25T00:00:00Z,NA,NA
"Brahms, Johannes",Symphony No 3,"Berlin Philharmonic Orchestra*, Claudio Abbado (conductor)
DG 429 7652 and download",2008-10-11T00:00:00Z,NA,NA
"Donizetti, Gaetano",Lucia di Lammermoor,"Maria Callas, Giuseppe di Stefano, Tito Gobbi, Raffaele Arié, Valiano Natali, Anna Maria Canali, Gino Sarri, Coro e Orchestra del Maggio Musicale Fiorentino, Tullio Serafin (conductor)
EMI 5861972 (2 CDs)",2008-10-04T00:00:00Z,NA,NA
"Beethoven, Ludwig Van","Piano Sonata No 17 Op 31/2, “Tempest” *","Claudio Arrau (piano)
PHILIPS 462 358-2 (14 CDs)",2008-09-27T00:00:00Z,NA,NA
"Mendelssohn, Felix","Symphony No 3 in A minor Op 56, “Scottish”","Deutsches Symphonie-Orchester Berlin, Vladimir Ashkenazy (conductor)
DECCA 470 946-2 (3 CDs)",2008-09-20T00:00:00Z,NA,NA
"Debussy, Claude",La Mer,"Concertgebouw Orchestra, Bernard Haitink 
PHILIPS 50 4646972(CD)",2008-09-01T00:00:00Z,NA,NA
"Bizet, Georges",Symphony in C,"Les Siecles, Francois-XAVIEr Roth (conductor) 
MIRARE MIR036 (CD)",2008-07-12T00:00:00Z,NA,NA
"Rachmaninov, Sergei",Etudes Tableaux Op 39,"Rustem Hayroudinoff (piano)
Chandos CHAN10391 (CD)",2008-07-05T00:00:00Z,NA,NA
"Bach, Johann Sebastian","Mass in F 
BWV 233","Cantus Cölln, Konrad Junghänel (conductor)
HARMONIA MUNDI HMC 901939.40 (2 CDs)",2008-06-28T00:00:00Z,NA,NA
"Borodin, Alexander",Symphony No 2,"Royal Philharmonic Orchestra, Vladimir Ashkenazy (conductor)
DECCA 436 6512 (CD)",2008-06-21T00:00:00Z,NA,NA
"Puccini, Giacomo",La Bohème,"Victoria de los Angeles, Jussi Bjorling, Robert Merrill, John Reardon, Giorgio Tozzi, Fernando Corena, Lucie Amara, RCA Victor Chorus & Orchestra, Columbus Boychoir, Sir Thomas Beecham (conductor)
EMI 5677502 (2 CDs - Mono Recording)",2008-06-14T00:00:00Z,NA,NA
"Mozart, Wolfgang Amadeus","String Quartet No 19 in C K465, “Dissonance”","Emerson String Quartet
DG 477 5751 (CD)",2008-06-07T00:00:00Z,NA,NA
"Messiaen, Olivier",La Nativité du Seigneur,"Dame Gillian Weir (organ of Arhus Cathedral, Denmark)
Priory PRCD921 (CD)",2008-05-31T00:00:00Z,Jeremy Thurlow,NA
"Shostakovich, Dmitri","Symphony No 13, “Babi Yar”","Artur Eizen (bass), Moscow Philharmonic Orchestra, Kirill Kondrashin (conductor)
Melodiya MELCD1001065 (11 CDs)",2008-05-24T00:00:00Z,NA,NA
"Chopin, Frédéric",Piano Sonata No 2,"Nelson Freire (piano)
DECCA 475 6617 (Hybrid SACD)",2008-05-17T00:00:00Z,NA,NA
"Tippett, Michael",Concerto for Double String Orchestra,"Academy of St Martin in the Fields,
Neville Marriner (conductor)
DECCA Eloquence 476 7960 (CD)
",2008-05-10T00:00:00Z,NA,NA
"Ravel, Maurice",Le Tombeau de Couperin (piano version),"Louis Lortie (piano)
Chandos CHAN10142(2) X (2 CDs)",2008-05-03T00:00:00Z,NA,NA
Josquin des Prez,Missa Pange Lingua,"Ensemble Clement Janequin, Ensemble Organum, Marcel Peres (director)
Harmonia Mundi HMG501239 
",2008-04-26T00:00:00Z,NA,NA
"Vaughan Williams, Ralph",Symphony No 6,"London Symphony Orchestra, Richard Hickox
Chandos CHAN10103 (Hybrid SACD)",2008-04-19T00:00:00Z,NA,NA
"Schumann, Robert",Piano Quintet in E flat Op 44,"Leif Ove Andsnes (piano), Artemis Quartet
Virgin Classics 3951432 (CD)",2008-04-12T00:00:00Z,NA,NA
"Scriabin, Alexander",Le Poème de l’extase,"The Philadelphia Orchestra
Riccardo Muti 
EMI Classics 7243 567720 2 (3 CDs)",2008-04-05T00:00:00Z,NA,NA
"Haydn, Joseph",The Seasons,"Marlis Petersen (soprano), Werner Gura (tenor), Dietrich Henschel (baritone), RIAS-Kammerchor, 
Freiburger Barockorchester, Rene Jacobs (conductor)
Harmonia Mundi HMC901829-30 (2 CDs) or HMC801829-30 (2 Hybrid SACDs)",2008-03-29T00:00:00Z,NA,NA
"Stravinsky, Igor",The Rite of Spring,"Junge Deutsche Philharmonie, Peter Eotvos (conductor) 
BMC (Budapest Music Centre) BMC 118",2008-03-22T00:00:00Z,NA,NA
"Biber, Heinrich Ignaz Franz von",‘Rosary’ or ‘Mystery’ Sonatas,"John Holloway (violin), Tragicomedia: Davitt Moroney (harpsichord/organ), Stephen Stubbs (lute/chitarrone), Andrew Lawrence-King (harp/regal), Erin Headley (gamba/lirone)
Virgin Veritas 0724356206229 (2CDs)",2008-03-15T00:00:00Z,Francis Knights,NA
"Debussy, Claude",Piano Preludes (Book II),"Jean-Efflam Bavouzet (piano)
Chandos CHAN10421 (CD)",2008-03-08T00:00:00Z,NA,NA
"Poulenc, Francis",Gloria,"Luba Orgonasova (soprano), Royal Concertgebouw Orchestra, Mariss Jansons (conductor)
RCO Live RCO06003 (SACD)",2008-03-01T00:00:00Z,NA,NA
"Bartók, Béla",Violin Concerto No 2 Sz. 112,"Kyung-Wha Chung (violin), City of Birmingham Symphony Orchestra, 
Simon Rattle (conductor)
EMI 509407 2 (3 CDs)",2008-02-23T00:00:00Z,NA,NA
